City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,70.09,broken clouds,-23.12,-134.97,Pension Maro'i
2,Hobyo,SO,75.97,broken clouds,5.35,48.53,Osmani Hotel
5,Sorong,ID,77.25,broken clouds,-0.88,131.25,The Waigo Hotel
7,Avarua,CK,75.2,clear sky,-21.21,-159.78,Paradise Inn
8,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
12,Polson,US,82.99,clear sky,47.69,-114.16,Americas Best Value Port Polson Inn
13,Vaini,TO,75.2,few clouds,-21.2,-175.2,Keleti Beach Resort
15,Jamestown,US,82.0,broken clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
18,Katsuura,JP,77.0,shower rain,35.13,140.3,Katsuura Hotel Mikazuki
21,Butaritari,KI,82.8,overcast clouds,3.07,172.79,Isles Sunset Lodge
25,Sola,VU,80.76,light rain,-13.88,167.55,Leumerus Bungalows
30,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
31,Guerrero Negro,MX,85.3,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
36,Atuona,PF,78.42,clear sky,-9.8,-139.03,Villa Enata
37,Korla,CN,77.2,clear sky,41.76,86.15,Gulisitan Hotel
39,Ponta Do Sol,PT,77.0,few clouds,32.67,-17.1,Hotel do Campo
46,Naze,JP,78.8,moderate rain,28.37,129.48,奄美ポートタワーホテル
48,Hambantota,LK,79.34,clear sky,6.12,81.12,Bungalow 63
49,Arraial Do Cabo,BR,71.6,broken clouds,-22.97,-42.03,Pousada Porto Praia
55,Lorengau,PG,79.03,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
56,Gualaco,HN,81.72,moderate rain,15.05,-86.05,Los encuentros
58,Vao,NC,70.27,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
60,Hithadhoo,MV,82.51,light rain,-0.6,73.08,Scoop Guest House
66,Mahebourg,MU,71.6,scattered clouds,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
69,Fort Wellington,GY,85.12,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
71,Rolla,US,90.0,clear sky,37.95,-91.77,Holiday Inn Express & Suites Rolla - Univ of Missouri S&T
73,Faanui,PF,76.26,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
76,Bethel,US,88.0,few clouds,41.37,-73.41,Courtyard by Marriott Danbury
77,Puri,IN,78.8,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
83,Kashi,CN,82.4,clear sky,39.45,75.98,帕米尔青年旅舍
84,Porto Velho,BR,86.0,clear sky,-8.76,-63.9,Ecos Hotel Conforto
85,Nishihara,JP,82.4,mist,26.18,127.76,Minshuku Agaihama
86,Ugoofaaru,MV,83.44,light rain,5.67,73.0,Ungoofaaru Inn
87,Kapaa,US,84.99,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
93,Sechura,PE,75.16,clear sky,-5.56,-80.82,Hospedaje Costa Bella
94,Dhidhdhoo,MV,83.08,moderate rain,6.88,73.1,Dhidhoo beach
97,Miles City,US,82.4,clear sky,46.41,-105.84,FairBridge Inn & Suites Miles City
101,Coruripe,BR,75.6,scattered clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
102,Jinxiang,CN,81.36,overcast clouds,22.86,115.7,Haiyun Holiday Hotel
