City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Provideniya,RU,2020-08-23 20:08:22,64.38,-173.3,50.0,81,90,2.24,overcast clouds
1,Rikitea,PF,2020-08-23 20:03:58,-23.12,-134.97,70.09,84,79,22.08,broken clouds
2,Hobyo,SO,2020-08-23 20:05:00,5.35,48.53,75.97,77,60,24.0,broken clouds
3,Batagay,RU,2020-08-23 20:08:23,67.63,134.63,34.12,93,57,3.6,broken clouds
4,Nizhniy Kuranakh,RU,2020-08-23 20:08:23,58.84,125.49,39.52,78,0,1.48,clear sky
5,Sorong,ID,2020-08-23 20:08:23,-0.88,131.25,77.25,87,81,7.4,broken clouds
6,Grandview,US,2020-08-23 20:08:23,38.89,-94.53,95.0,38,1,9.17,clear sky
7,Avarua,CK,2020-08-23 20:04:49,-21.21,-159.78,75.2,73,0,11.41,clear sky
8,Puerto Ayora,EC,2020-08-23 20:03:54,-0.74,-90.35,77.0,57,59,21.92,broken clouds
9,Bonavista,CA,2020-08-23 20:06:04,48.65,-53.11,62.01,83,32,1.99,scattered clouds
10,Kodiak,US,2020-08-23 20:04:20,57.79,-152.41,60.8,72,90,4.7,overcast clouds
11,Nikolskoye,RU,2020-08-23 20:04:12,59.7,30.79,63.0,82,40,4.47,scattered clouds
12,Polson,US,2020-08-23 20:08:24,47.69,-114.16,82.99,40,0,2.19,clear sky
13,Vaini,TO,2020-08-23 20:03:50,-21.2,-175.2,75.2,94,20,6.93,few clouds
14,Yulara,AU,2020-08-23 19:59:31,-25.24,130.99,55.4,40,0,4.7,clear sky
15,Jamestown,US,2020-08-23 20:02:39,42.1,-79.24,82.0,69,75,5.82,broken clouds
16,Chokurdakh,RU,2020-08-23 20:04:21,70.63,147.92,33.66,91,100,10.8,overcast clouds
17,Hermanus,ZA,2020-08-23 20:04:04,-34.42,19.23,55.99,95,99,6.2,overcast clouds
18,Katsuura,JP,2020-08-23 20:05:10,35.13,140.3,77.0,94,75,8.05,shower rain
19,Cherskiy,RU,2020-08-23 20:04:34,68.75,161.3,38.17,93,100,12.68,light rain
20,Te Anau,NZ,2020-08-23 20:04:34,-45.42,167.72,38.35,88,87,1.57,overcast clouds
21,Butaritari,KI,2020-08-23 20:04:13,3.07,172.79,82.8,69,99,10.87,overcast clouds
22,Ushuaia,AR,2020-08-23 20:08:27,-54.8,-68.3,35.6,74,40,16.11,shower rain
23,Dikson,RU,2020-08-23 20:04:32,73.51,80.55,45.21,82,0,10.96,clear sky
24,Saint George,US,2020-08-23 20:00:51,37.1,-113.58,102.0,23,1,5.82,clear sky
25,Sola,VU,2020-08-23 20:04:02,-13.88,167.55,80.76,83,86,9.78,light rain
26,Albany,US,2020-08-23 19:59:18,42.6,-73.97,82.99,65,75,9.17,thunderstorm
27,Busselton,AU,2020-08-23 20:03:51,-33.65,115.33,43.0,80,0,3.85,clear sky
28,New Norfolk,AU,2020-08-23 20:08:28,-42.78,147.06,37.99,86,15,3.38,few clouds
29,Torbay,CA,2020-08-23 20:04:59,47.67,-52.73,66.2,63,40,5.82,scattered clouds
30,Hilo,US,2020-08-23 19:59:20,19.73,-155.09,82.4,69,90,5.82,overcast clouds
31,Guerrero Negro,MX,2020-08-23 20:04:52,27.98,-114.06,85.3,44,40,17.78,scattered clouds
32,Tasiilaq,GL,2020-08-23 20:04:14,65.61,-37.64,46.4,75,0,6.93,clear sky
33,Aykhal,RU,2020-08-23 20:04:31,66.0,111.5,44.6,70,8,8.95,clear sky
34,Carnarvon,AU,2020-08-23 20:03:54,-24.87,113.63,64.4,77,0,18.34,clear sky
35,Mar Del Plata,AR,2020-08-23 20:03:51,-38.0,-57.56,64.4,39,0,14.99,clear sky
36,Atuona,PF,2020-08-23 20:04:33,-9.8,-139.03,78.42,78,2,16.15,clear sky
37,Korla,CN,2020-08-23 20:03:57,41.76,86.15,77.2,33,0,2.46,clear sky
38,Zhaotong,CN,2020-08-23 20:08:30,27.32,103.72,61.57,91,100,2.66,moderate rain
39,Ponta Do Sol,PT,2020-08-23 20:04:02,32.67,-17.1,77.0,61,20,19.46,few clouds
40,Esperance,AU,2020-08-23 20:05:07,-33.87,121.9,50.0,100,90,8.05,overcast clouds
41,Pauini,BR,2020-08-23 20:08:31,-7.71,-66.98,94.75,25,0,1.23,clear sky
42,Coffs Harbour,AU,2020-08-23 20:08:31,-30.3,153.13,39.99,80,0,6.93,clear sky
43,Srednekolymsk,RU,2020-08-23 20:04:33,67.45,153.68,35.73,85,100,9.33,overcast clouds
44,Riyadh,SA,2020-08-23 20:05:23,24.69,46.72,98.6,13,81,6.93,broken clouds
45,Chimbote,PE,2020-08-23 20:08:31,-9.09,-78.58,66.22,67,6,9.51,clear sky
46,Naze,JP,2020-08-23 20:06:14,28.37,129.48,78.8,94,99,4.7,moderate rain
47,Saskylakh,RU,2020-08-23 20:04:17,71.92,114.08,39.6,86,0,7.38,clear sky
48,Hambantota,LK,2020-08-23 20:05:00,6.12,81.12,79.34,84,0,11.41,clear sky
49,Arraial Do Cabo,BR,2020-08-23 20:04:05,-22.97,-42.03,71.6,64,75,11.41,broken clouds
50,Yerbogachen,RU,2020-08-23 20:08:32,61.28,108.01,45.97,64,13,7.0,few clouds
51,Bredasdorp,ZA,2020-08-23 20:03:57,-34.53,20.04,55.4,87,100,2.24,overcast clouds
52,Grand Gaube,MU,2020-08-23 20:05:09,-20.01,57.66,66.99,82,35,5.01,moderate rain
53,Nefteyugansk,RU,2020-08-23 20:08:33,61.1,72.6,53.6,100,61,2.24,broken clouds
54,Namibe,AO,2020-08-23 19:59:46,-15.2,12.15,66.88,86,86,1.45,overcast clouds
55,Lorengau,PG,2020-08-23 20:04:40,-2.02,147.27,79.03,79,100,7.49,moderate rain
56,Gualaco,HN,2020-08-23 20:08:33,15.05,-86.05,81.72,74,100,2.06,moderate rain
57,San Juan Tilapa,MX,2020-08-23 20:08:33,19.22,-99.66,68.0,42,75,5.82,broken clouds
58,Vao,NC,2020-08-23 20:05:08,-22.67,167.48,70.27,78,99,12.86,overcast clouds
59,Mezen,RU,2020-08-23 20:08:34,65.85,44.24,57.67,95,100,10.56,light rain
60,Hithadhoo,MV,2020-08-23 20:04:47,-0.6,73.08,82.51,79,55,13.44,light rain
61,Punta Arenas,CL,2020-08-23 20:03:54,-53.15,-70.92,33.8,71,75,26.4,light shower snow
62,Barrow,US,2020-08-23 20:04:22,71.29,-156.79,41.0,93,90,3.36,mist
63,Mount Gambier,AU,2020-08-23 20:04:49,-37.83,140.77,39.2,93,90,6.93,overcast clouds
64,Midland,US,2020-08-23 20:03:54,32.0,-102.08,93.99,28,40,11.41,scattered clouds
65,Yellowknife,CA,2020-08-23 20:06:45,62.46,-114.35,59.0,54,40,8.05,scattered clouds
66,Mahebourg,MU,2020-08-23 20:04:10,-20.41,57.7,71.6,73,40,17.22,scattered clouds
67,Porto Belo,BR,2020-08-23 20:08:35,-27.16,-48.55,63.0,82,75,3.36,broken clouds
68,Lebu,CL,2020-08-23 20:04:00,-37.62,-73.65,50.97,91,100,19.42,light rain
69,Fort Wellington,GY,2020-08-23 20:08:35,6.4,-57.6,85.12,66,97,8.68,overcast clouds
70,Vestmannaeyjar,IS,2020-08-23 20:05:31,63.44,-20.27,52.86,74,93,6.76,overcast clouds
71,Rolla,US,2020-08-23 20:04:43,37.95,-91.77,90.0,43,1,10.29,clear sky
72,Mataura,NZ,2020-08-23 20:03:56,-46.19,168.86,42.01,94,11,1.01,few clouds
73,Faanui,PF,2020-08-23 20:04:46,-16.48,-151.75,76.26,78,24,19.19,few clouds
74,Antalaha,MG,2020-08-23 20:08:36,-14.9,50.28,67.66,86,67,7.83,light rain
75,Kununurra,AU,2020-08-23 20:05:14,-15.77,128.73,59.0,30,0,1.12,clear sky
76,Bethel,US,2020-08-23 20:03:51,41.37,-73.41,88.0,51,20,10.29,few clouds
77,Puri,IN,2020-08-23 20:08:37,19.8,85.85,78.8,100,75,4.7,haze
78,Straumen,NO,2020-08-23 20:08:37,63.87,11.3,52.0,81,75,18.34,broken clouds
79,Ilulissat,GL,2020-08-23 20:04:28,69.22,-51.1,46.4,52,0,3.36,clear sky
80,Ambilobe,MG,2020-08-23 20:08:37,-13.2,49.05,67.84,77,71,4.21,broken clouds
81,Adrar,MR,2020-08-23 20:04:30,20.5,-10.07,103.46,15,16,14.85,few clouds
82,Kaitangata,NZ,2020-08-23 20:04:05,-46.28,169.85,52.0,90,97,11.99,overcast clouds
83,Kashi,CN,2020-08-23 20:08:38,39.45,75.98,82.4,32,0,8.95,clear sky
84,Porto Velho,BR,2020-08-23 20:08:38,-8.76,-63.9,86.0,37,0,3.36,clear sky
85,Nishihara,JP,2020-08-23 20:08:39,26.18,127.76,82.4,83,90,25.28,mist
86,Ugoofaaru,MV,2020-08-23 20:08:39,5.67,73.0,83.44,70,74,6.13,light rain
87,Kapaa,US,2020-08-23 20:04:00,22.08,-159.32,84.99,74,40,12.75,scattered clouds
88,Grabovo,RU,2020-08-23 20:08:40,53.39,45.06,63.0,50,0,1.83,clear sky
89,Pinega,RU,2020-08-23 20:08:40,64.7,43.39,58.96,94,100,8.88,overcast clouds
90,Waipawa,NZ,2020-08-23 20:08:41,-41.41,175.52,55.4,82,100,12.75,overcast clouds
91,Laguna,US,2020-08-23 20:04:26,38.42,-121.42,93.0,24,90,6.93,haze
92,Port Elizabeth,ZA,2020-08-23 20:01:20,-33.92,25.57,60.8,77,95,6.93,overcast clouds
93,Sechura,PE,2020-08-23 20:04:51,-5.56,-80.82,75.16,47,8,15.23,clear sky
94,Dhidhdhoo,MV,2020-08-23 20:08:41,6.88,73.1,83.08,73,50,8.95,moderate rain
95,Catarama,EC,2020-08-23 20:08:41,-1.58,-79.47,94.01,34,26,3.29,scattered clouds
96,Longyearbyen,SJ,2020-08-23 20:04:44,78.22,15.64,46.4,61,3,8.05,clear sky
97,Miles City,US,2020-08-23 20:08:42,46.41,-105.84,82.4,21,1,12.75,clear sky
98,Saldanha,ZA,2020-08-23 20:04:21,-33.01,17.94,55.4,87,90,6.93,overcast clouds
99,Konstantinovka,RU,2020-08-23 20:08:42,49.62,127.98,59.7,88,85,3.56,overcast clouds
